rank,ticker,company,sector,weight,market_cap_usd
1,NVDA,NVIDIA Corporation,Technology,13.31,5.19T
2,AAPL,Apple Inc.,Technology,11.57,4.59T
3,MSFT,Microsoft Corporation,Technology,8.55,3.17T
4,AMZN,Amazon.com Inc.,Consumer Discretionary,7.07,2.95T
5,GOOGL,Alphabet Inc. Class A,Communication Services,5.75,4.73T
6,GOOG,Alphabet Inc. Class C,Communication Services,5.33,4.68T
7,AVGO,Broadcom Inc.,Technology,4.6,2.02T
8,META,Meta Platforms Inc. Class A,Communication Services,4.58,1.61T
9,TSLA,Tesla Inc.,Consumer Discretionary,4.44,1.66T
10,WMT,Walmart Inc.,Consumer Staples,3.06,947.8B
11,ASML,ASML Holding N.V.,Technology,1.65,618.9B
12,COST,Costco Wholesale Corporation,Consumer Staples,1.37,441.5B
13,MU,Micron Technology Inc.,Technology,1.3,1.04T
14,NFLX,Netflix Inc.,Communication Services,1.25,363.6B
15,PLTR,Palantir Technologies Inc. Class A,Technology,1.09,343.6B
16,AMD,Advanced Micro Devices Inc.,Technology,1.07,844.8B
17,CSCO,Cisco Systems Inc.,Technology,0.97,467.6B
18,AMAT,Applied Materials Inc.,Technology,0.88,357.0B
19,LRCX,Lam Research Corporation,Technology,0.86,397.7B
20,INTC,Intel Corporation,Technology,0.76,607.6B
21,LIN,Linde plc,Materials,0.71,232.1B
22,TMUS,T-Mobile US Inc.,Communication Services,0.69,204.5B
23,PEP,PepsiCo Inc.,Consumer Staples,0.65,200.0B
24,KLAC,KLA Corporation,Technology,0.62,251.8B
25,AMGN,Amgen Inc.,Health Care,0.59,181.6B
26,TXN,Texas Instruments Incorporated,Technology,0.56,287.5B
27,GILD,Gilead Sciences Inc.,Health Care,0.54,169.1B
28,ISRG,Intuitive Surgical Inc.,Health Care,0.51,150.0B
29,ARM,Arm Holdings plc ADR,Technology,0.5,358.1B
30,ADI,Analog Devices Inc.,Technology,0.49,204.1B
31,SHOP,Shopify Inc. Class A,Consumer Discretionary,0.48,149.3B
32,PDD,PDD Holdings Inc. ADR,Consumer Discretionary,0.45,118.2B
33,HON,Honeywell International Inc.,Industrials,0.45,147.6B
34,QCOM,QUALCOMM Incorporated,Technology,0.43,256.4B
35,BKNG,Booking Holdings Inc.,Consumer Discretionary,0.42,131.6B
36,APP,AppLovin Corporation Class A,Technology,0.41,201.5B
37,PANW,Palo Alto Networks Inc.,Technology,0.4,209.1B
38,INTU,Intuit Inc.,Technology,0.36,85.6B
39,VRTX,Vertex Pharmaceuticals Incorporated,Health Care,0.36,113.7B
40,SBUX,Starbucks Corporation,Consumer Discretionary,0.32,114.8B
41,WDC,Western Digital Corporation,Technology,0.32,183.1B
42,CEG,Constellation Energy Corporation,Utilities,0.31,103.4B
43,CMCSA,Comcast Corporation Class A,Communication Services,0.31,89.9B
44,CRWD,CrowdStrike Holdings Inc. Class A,Technology,0.31,170.8B
45,ADBE,Adobe Inc.,Technology,0.3,97.6B
46,STX,Seagate Technology Holdings plc,Technology,0.3,197.5B
